"TOA5","Pinyon2","CR1000X","12173","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","539","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Min","PTemp_C_TMn","PTemp_C_Max","PTemp_C_TMx","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn"
"TS","RN","Volts","Deg C","","Deg C","","Deg C","","Deg C","","%","","%",""
"","","Min","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx","Min","TMn"
"2019-12-16 00:00:00",0,12.82,-0.579,"2019-12-16 00:00:00",18.98,"2019-12-15 16:20:00",8.98,"2019-12-15 16:10:00",-2.98,"2019-12-16 00:00:00",71.51,"2019-12-15 23:50:00",27.54,"2019-12-15 16:20:00"
"2019-12-17 00:00:00",1,"NAN","NAN","2019-12-16 06:40:00","NAN","2019-12-16 06:40:00","NAN","2019-12-16 06:40:00","NAN","2019-12-16 06:40:00","NAN","2019-12-16 06:40:00","NAN","2019-12-16 06:40:00"
"2019-12-18 00:00:00",2,"NAN","NAN","2019-12-17 00:30:00","NAN","2019-12-17 00:30:00","NAN","2019-12-17 00:30:00","NAN","2019-12-17 00:30:00","NAN","2019-12-17 00:30:00","NAN","2019-12-17 00:30:00"
"2019-12-19 00:00:00",3,"NAN","NAN","2019-12-18 21:40:00","NAN","2019-12-18 21:40:00","NAN","2019-12-18 21:40:00","NAN","2019-12-18 21:40:00","NAN","2019-12-18 21:40:00","NAN","2019-12-18 21:40:00"
"2019-12-20 00:00:00",4,13.02,-5.392,"2019-12-19 05:10:00",25.14,"2019-12-19 13:10:00",14.53,"2019-12-19 11:00:00",-4.505,"2019-12-19 00:30:00",67.56,"2019-12-19 06:50:00",14.86,"2019-12-19 11:00:00"
"2019-12-21 00:00:00",5,"NAN","NAN","2019-12-20 06:10:00","NAN","2019-12-20 06:10:00","NAN","2019-12-20 06:10:00","NAN","2019-12-20 06:10:00","NAN","2019-12-20 06:10:00","NAN","2019-12-20 06:10:00"
"2019-12-22 00:00:00",6,"NAN","NAN","2019-12-21 08:00:00","NAN","2019-12-21 08:00:00","NAN","2019-12-21 08:00:00","NAN","2019-12-21 08:00:00","NAN","2019-12-21 08:00:00","NAN","2019-12-21 08:00:00"
"2019-12-23 00:00:00",7,13.05,2.332,"2019-12-22 04:20:00",13.07,"2019-12-22 13:00:00",12.24,"2019-12-22 14:00:00",4.012,"2019-12-22 18:40:00",51.65,"2019-12-22 18:50:00",14.92,"2019-12-22 04:50:00"
"2019-12-24 00:00:00",8,13.07,2.956,"2019-12-23 21:20:00",8.2,"2019-12-23 10:00:00",8.34,"2019-12-23 09:40:00",2.073,"2019-12-23 20:30:00",100,"2019-12-23 16:00:00",23.28,"2019-12-23 03:20:00"
"2019-12-25 00:00:00",9,13.04,1.293,"2019-12-24 06:40:00",16.17,"2019-12-24 12:00:00",8.75,"2019-12-24 11:00:00",0.84,"2019-12-24 23:30:00",99.4,"2019-12-24 04:20:00",45.86,"2019-12-24 13:50:00"
"2019-12-26 00:00:00",10,13.05,0.581,"2019-12-25 07:20:00",7.767,"2019-12-25 10:40:00",4.313,"2019-12-25 11:40:00",0.641,"2019-12-25 07:00:00",96.9,"2019-12-25 19:00:00",67.73,"2019-12-25 07:40:00"
"2019-12-27 00:00:00",11,13.05,0.721,"2019-12-27 00:00:00",6.874,"2019-12-26 14:40:00",3.384,"2019-12-26 12:20:00",-0.289,"2019-12-26 17:30:00",100,"2019-12-26 08:20:00",75.72,"2019-12-26 01:00:00"
"2019-12-28 00:00:00",12,13.04,-2.289,"2019-12-28 00:00:00",20.5,"2019-12-27 13:00:00",9.03,"2019-12-27 12:30:00",-2.791,"2019-12-28 00:00:00",94.1,"2019-12-27 02:30:00",41.82,"2019-12-27 13:00:00"
"2019-12-29 00:00:00",13,13.04,-5.185,"2019-12-28 06:10:00",22.43,"2019-12-28 14:50:00",10.24,"2019-12-28 14:50:00",-3.8,"2019-12-28 04:00:00",85.4,"2019-12-28 19:00:00",24.78,"2019-12-28 10:40:00"
"2019-12-30 00:00:00",14,"NAN","NAN","2019-12-29 00:30:00","NAN","2019-12-29 00:30:00","NAN","2019-12-29 00:30:00","NAN","2019-12-29 00:30:00","NAN","2019-12-29 00:30:00","NAN","2019-12-29 00:30:00"
"2019-12-31 00:00:00",15,13.05,-1.265,"2019-12-30 07:10:00",10.55,"2019-12-30 14:00:00",7.395,"2019-12-30 13:50:00",-2.069,"2019-12-30 06:30:00",99.2,"2019-12-30 18:50:00",39.4,"2019-12-30 12:40:00"
"2020-01-01 00:00:00",16,13.05,-0.17,"2020-01-01 00:00:00",24.44,"2019-12-31 13:50:00",13.92,"2019-12-31 13:00:00",-0.153,"2019-12-31 21:40:00",87.5,"2019-12-31 00:10:00",30.62,"2019-12-31 15:40:00"
"2020-01-02 00:00:00",17,"NAN","NAN","2020-01-01 01:40:00","NAN","2020-01-01 01:40:00","NAN","2020-01-01 01:40:00","NAN","2020-01-01 01:40:00","NAN","2020-01-01 01:40:00","NAN","2020-01-01 01:40:00"
"2020-01-03 00:00:00",18,13.06,0.667,"2020-01-02 07:20:00",26.6,"2020-01-02 14:10:00",14.91,"2020-01-02 14:30:00",1.481,"2020-01-02 07:00:00",73.75,"2020-01-02 07:00:00",20.43,"2020-01-02 14:30:00"
"2020-01-04 00:00:00",19,13.06,0.633,"2020-01-03 06:40:00",27.71,"2020-01-03 14:20:00",19.64,"2020-01-03 11:30:00",1.138,"2020-01-03 23:20:00",73.83,"2020-01-03 20:40:00",19.27,"2020-01-03 11:20:00"
"2020-01-05 00:00:00",20,13.06,0.936,"2020-01-04 01:30:00",29.5,"2020-01-04 14:10:00",19.74,"2020-01-04 14:00:00",0.232,"2020-01-05 00:00:00",74.6,"2020-01-05 00:00:00",16.08,"2020-01-04 14:10:00"
"2020-01-06 00:00:00",21,"NAN","NAN","2020-01-05 05:40:00","NAN","2020-01-05 05:40:00","NAN","2020-01-05 05:40:00","NAN","2020-01-05 05:40:00","NAN","2020-01-05 05:40:00","NAN","2020-01-05 05:40:00"
"2020-01-07 00:00:00",22,13.05,-0.262,"2020-01-07 00:00:00",30.07,"2020-01-06 13:50:00",18.48,"2020-01-06 12:50:00",-1.785,"2020-01-06 21:10:00",56.44,"2020-01-06 21:10:00",8.5,"2020-01-06 13:30:00"
"2020-01-08 00:00:00",23,13.03,-3.99,"2020-01-07 07:00:00",28.97,"2020-01-07 13:50:00",17.19,"2020-01-07 11:50:00",-2.632,"2020-01-07 05:00:00",53.36,"2020-01-07 03:00:00",13.35,"2020-01-07 11:50:00"
"2020-01-09 00:00:00",24,13.06,2.959,"2020-01-09 00:00:00",23.89,"2020-01-08 11:50:00",15.17,"2020-01-08 09:40:00",0.456,"2020-01-08 21:10:00",82.3,"2020-01-08 22:30:00",13.26,"2020-01-08 11:50:00"
"2020-01-10 00:00:00",25,13.06,0.019,"2020-01-09 20:40:00",13.18,"2020-01-09 09:30:00",7.676,"2020-01-09 09:20:00",-1.165,"2020-01-09 20:10:00",94.7,"2020-01-09 19:40:00",35.65,"2020-01-09 05:10:00"
"2020-01-11 00:00:00",26,13.05,-2.855,"2020-01-10 05:50:00",25.29,"2020-01-10 15:00:00",13.37,"2020-01-10 14:50:00",-1.828,"2020-01-10 05:10:00",56.05,"2020-01-10 21:50:00",13.5,"2020-01-10 14:50:00"
"2020-01-12 00:00:00",27,13.05,-0.584,"2020-01-11 00:10:00",23.45,"2020-01-11 14:00:00",14.91,"2020-01-11 12:10:00",-1.584,"2020-01-11 23:50:00",71.47,"2020-01-11 23:50:00",11.94,"2020-01-11 05:10:00"
"2020-01-13 00:00:00",28,13.04,-4.212,"2020-01-12 07:10:00",25.24,"2020-01-12 14:50:00",13.93,"2020-01-12 10:50:00",-3.765,"2020-01-12 07:10:00",82.2,"2020-01-12 03:10:00",28.71,"2020-01-12 10:40:00"
"2020-01-14 00:00:00",29,13.06,0.593,"2020-01-13 23:40:00",28.31,"2020-01-13 13:10:00",16.22,"2020-01-13 13:00:00",-1.66,"2020-01-13 20:00:00",82.6,"2020-01-13 20:20:00",11.23,"2020-01-13 04:40:00"
"2020-01-15 00:00:00",30,13.05,1.142,"2020-01-14 00:10:00",24.47,"2020-01-14 13:10:00",18.02,"2020-01-14 12:50:00",2.916,"2020-01-14 07:00:00",57,"2020-01-14 06:40:00",4.257,"2020-01-14 18:20:00"
"2020-01-16 00:00:00",31,13.06,0.917,"2020-01-16 00:00:00",29.58,"2020-01-15 13:40:00",15.56,"2020-01-15 13:20:00",-0.866,"2020-01-15 20:10:00",70.52,"2020-01-15 20:10:00",7.403,"2020-01-15 00:50:00"
"2020-01-17 00:00:00",32,13.04,0.761,"2020-01-16 02:00:00",29.67,"2020-01-16 12:10:00",17.45,"2020-01-16 11:50:00",1.829,"2020-01-16 22:30:00",84.3,"2020-01-16 20:20:00",12.99,"2020-01-16 14:20:00"
"2020-01-18 00:00:00",33,13.05,-1.015,"2020-01-18 00:00:00",22.73,"2020-01-17 13:30:00",11.26,"2020-01-17 10:50:00",-3.137,"2020-01-17 22:30:00",89.1,"2020-01-17 18:50:00",47.73,"2020-01-17 13:30:00"
"2020-01-19 00:00:00",34,13.02,-4.055,"2020-01-18 07:10:00",26.05,"2020-01-18 14:10:00",14.37,"2020-01-18 13:30:00",-3.561,"2020-01-18 00:20:00",75.41,"2020-01-18 00:20:00",12.92,"2020-01-18 13:30:00"
"2020-01-20 00:00:00",35,13.02,-1.744,"2020-01-19 07:10:00",27.81,"2020-01-19 14:00:00",17.25,"2020-01-19 13:50:00",-1.078,"2020-01-19 03:50:00",48.29,"2020-01-19 07:10:00",14.92,"2020-01-19 13:20:00"
"2020-01-21 00:00:00",36,13.04,4.29,"2020-01-20 06:20:00",16.5,"2020-01-20 11:20:00",14.45,"2020-01-20 14:30:00",4.469,"2020-01-20 01:30:00",48.75,"2020-01-20 04:10:00",21.53,"2020-01-20 10:30:00"
"2020-01-22 00:00:00",37,13.05,3.231,"2020-01-22 00:00:00",20.69,"2020-01-21 11:00:00",11.72,"2020-01-21 10:50:00",2.758,"2020-01-21 21:20:00",92,"2020-01-21 02:40:00",48.33,"2020-01-21 00:20:00"
"2020-01-23 00:00:00",38,13.04,1.149,"2020-01-22 07:00:00",27.14,"2020-01-22 14:10:00",14.73,"2020-01-22 14:00:00",0.596,"2020-01-22 22:50:00",95.6,"2020-01-22 05:40:00",37.58,"2020-01-22 14:20:00"
"2020-01-24 00:00:00",39,13.03,1.216,"2020-01-23 05:00:00",29.71,"2020-01-23 14:40:00",18.64,"2020-01-23 11:40:00",1.475,"2020-01-23 01:10:00",76.34,"2020-01-23 01:10:00",24.42,"2020-01-23 11:30:00"
