"TOA5","Pinyon1","CR1000X","12170","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","6924","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Min","PTemp_C_TMn","PTemp_C_Max","PTemp_C_TMx","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","Rain_mm_Tot"
"TS","RN","Volts","Deg C","","Deg C","","Deg C","","Deg C","","%","","%","","mm"
"","","Min","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Tot"
"2020-01-04 00:00:00",22,13,0.262,"2020-01-03 06:40:00",23.93,"2020-01-03 14:30:00",16.89,"2020-01-03 11:30:00",3.832,"2020-01-03 20:40:00",57.62,"2020-01-03 19:10:00",20.91,"2020-01-03 10:40:00",0
"2020-01-05 00:00:00",23,13,0.597,"2020-01-04 01:30:00",24.03,"2020-01-04 14:20:00",17.86,"2020-01-04 13:00:00",3.492,"2020-01-05 00:00:00",53.83,"2020-01-05 00:00:00",16.17,"2020-01-04 14:10:00",0
"2020-01-06 00:00:00",24,12.99,-1.793,"2020-01-05 07:20:00",24.76,"2020-01-05 15:00:00",16.66,"2020-01-05 10:40:00",1.982,"2020-01-05 02:00:00",55.57,"2020-01-05 02:00:00",15.51,"2020-01-05 14:30:00",0
"2020-01-07 00:00:00",25,13,-0.841,"2020-01-07 00:00:00",24.3,"2020-01-06 14:50:00",15.5,"2020-01-06 13:30:00",1.635,"2020-01-06 06:50:00",36.7,"2020-01-06 21:10:00",8.3,"2020-01-06 13:10:00",0
"2020-01-08 00:00:00",26,12.96,-4.38,"2020-01-07 07:00:00",23.05,"2020-01-07 14:10:00",14.96,"2020-01-07 12:00:00",0.771,"2020-01-07 03:00:00",39.06,"2020-01-07 18:30:00",12.86,"2020-01-07 09:40:00",0
"2020-01-09 00:00:00",27,13,2.407,"2020-01-08 21:30:00",17.78,"2020-01-08 11:50:00",14.08,"2020-01-08 11:40:00",1.921,"2020-01-08 21:10:00",76.82,"2020-01-08 22:10:00",13.62,"2020-01-08 12:20:00",0
"2020-01-10 00:00:00",28,12.99,-0.204,"2020-01-09 20:40:00",10.52,"2020-01-09 09:30:00",7.092,"2020-01-09 13:10:00",0.125,"2020-01-09 20:10:00",87.7,"2020-01-09 16:20:00",32.53,"2020-01-10 00:00:00",0
"2020-01-11 00:00:00",29,12.97,-3.104,"2020-01-10 07:20:00",20.97,"2020-01-10 15:50:00",11.14,"2020-01-10 14:50:00",-0.295,"2020-01-10 04:50:00",46.64,"2020-01-10 04:50:00",14.34,"2020-01-10 12:20:00",0
"2020-01-12 00:00:00",30,12.99,-1.124,"2020-01-11 00:10:00",17.98,"2020-01-11 14:50:00",13.78,"2020-01-11 12:40:00",0.912,"2020-01-11 22:50:00",61.87,"2020-01-11 19:10:00",11.86,"2020-01-11 05:10:00",0
"2020-01-13 00:00:00",31,12.97,-4.547,"2020-01-12 07:20:00",19.9,"2020-01-12 14:40:00",13.18,"2020-01-12 14:50:00",-1.03,"2020-01-12 05:40:00",64.29,"2020-01-12 00:30:00",29.38,"2020-01-12 09:00:00",0
"2020-01-14 00:00:00",32,13,-0.137,"2020-01-13 23:30:00",21.89,"2020-01-13 15:30:00",14.65,"2020-01-13 12:10:00",0.057,"2020-01-13 22:10:00",69.2,"2020-01-13 20:00:00",11.28,"2020-01-13 06:10:00",0
"2020-01-15 00:00:00",33,12.98,0.459,"2020-01-14 00:10:00",19.83,"2020-01-14 13:10:00",17.7,"2020-01-14 13:00:00",4.457,"2020-01-14 07:00:00",53.47,"2020-01-14 06:40:00",4.125,"2020-01-14 18:00:00",0
"2020-01-16 00:00:00",34,12.99,0.301,"2020-01-16 00:00:00",24.23,"2020-01-15 15:00:00",13.48,"2020-01-15 14:40:00",2.287,"2020-01-15 23:20:00",53.85,"2020-01-15 22:10:00",7.258,"2020-01-15 00:30:00",0
"2020-01-17 00:00:00",35,12.96,0.094,"2020-01-16 02:00:00",22.09,"2020-01-16 13:50:00",14.97,"2020-01-16 14:20:00",2.298,"2020-01-16 22:30:00",78.92,"2020-01-16 21:20:00",12.58,"2020-01-16 14:20:00",0
"2020-01-18 00:00:00",36,12.97,-1.469,"2020-01-18 00:00:00",19.04,"2020-01-17 13:40:00",9.22,"2020-01-17 13:30:00",-0.557,"2020-01-17 22:20:00",79.02,"2020-01-17 04:30:00",47.97,"2020-01-17 13:30:00",0
"2020-01-19 00:00:00",37,12.94,-4.28,"2020-01-18 07:10:00",21.28,"2020-01-18 14:20:00",11.99,"2020-01-18 14:00:00",-0.229,"2020-01-18 03:40:00",51.39,"2020-01-18 00:10:00",13.38,"2020-01-18 15:40:00",0
"2020-01-20 00:00:00",38,12.95,-1.566,"2020-01-19 07:10:00",23.41,"2020-01-19 14:00:00",15.58,"2020-01-19 13:40:00",3.309,"2020-01-19 04:20:00",32.33,"2020-01-19 22:30:00",16.19,"2020-01-19 14:00:00",0
"2020-01-21 00:00:00",39,12.96,4.119,"2020-01-20 06:20:00",16.26,"2020-01-20 14:40:00",13.53,"2020-01-20 11:10:00",5.865,"2020-01-20 03:10:00",45.28,"2020-01-21 00:00:00",21.16,"2020-01-20 09:50:00",0
